Name,Author,User Rating,Reviews,Price,Year,Genre
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2013,Non Fiction
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,7150,12,2013,Fiction
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,3836,12,2014,Fiction
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2272,6,2013,Non Fiction
Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,9382,6,2019,Fiction
StrengthsFinder 2.0,Gallup,4,5069,17,2009,Non Fiction
StrengthsFinder 2.0,Gallup,4,5069,17,2010,Non Fiction
StrengthsFinder 2.0,Gallup,4,5069,17,2011,Non Fiction
StrengthsFinder 2.0,Gallup,4,5069,17,2012,Non Fiction
StrengthsFinder 2.0,Gallup,4,5069,17,2013,Non Fiction
StrengthsFinder 2.0,Gallup,4,5069,17,2014,Non Fiction
StrengthsFinder 2.0,Gallup,4,5069,17,2015,Non Fiction
StrengthsFinder 2.0,Gallup,4,5069,17,2016,Non Fiction
StrengthsFinder 2.0,Gallup,4,5069,17,2017,Non Fiction
Sycamore Row (Jake Brigance),John Grisham,4.5,23114,18,2013,Fiction
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20,2010,Non Fiction
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20,2011,Non Fiction
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2314,22,2011,Non Fiction
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,13061,6,2018,Non Fiction
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,13061,6,2019,Non Fiction
The Confession: A Novel,John Grisham,4.3,3523,13,2010,Fiction
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440,11,2010,Non Fiction
The Elegance of the Hedgehog,Muriel Barbery,4,1859,11,2009,Fiction
The Girl on the Train,Paula Hawkins,4.1,79446,18,2015,Fiction
The Girl on the Train,Paula Hawkins,4.1,79446,7,2016,Fiction
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2,2009,Fiction
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2,2010,Fiction
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20,2013,Fiction
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20,2014,Fiction
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2012,Fiction
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2013,Fiction
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2014,Fiction
The Guardians: A Novel,John Grisham,4.5,13609,14,2019,Fiction
The Handmaid's Tale,Margaret Atwood,4.3,29442,7,2017,Fiction
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,7,2017,Non Fiction
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,7,2018,Non Fiction
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,5396,20,2013,Fiction
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,2011,Non Fiction
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,2012,Non Fiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie KondÅ�,4.5,22641,11,2015,Non Fiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie KondÅ�,4.5,22641,11,2016,Non Fiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie KondÅ�,4.5,22641,11,2017,Non Fiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie KondÅ�,4.5,22641,11,2019,Non Fiction
The Litigators,John Grisham,4.4,6222,18,2011,Fiction
The Lost Symbol,Dan Brown,4.2,8747,19,2009,Fiction
The Magnolia Story,Chip Gaines,4.9,7861,5,2016,Non Fiction
The Maze Runner (Book 1),James Dashner,4.5,10101,8,2014,Fiction
The Official SAT Study Guide,The College Board,4.4,1201,40,2010,Non Fiction
The Official SAT Study Guide,The College Board,4.4,1201,40,2011,Non Fiction
The Official SAT Study Guide,The College Board,4.4,1201,40,2012,Non Fiction
The Official SAT Study Guide,The College Board,4.4,1201,40,2013,Non Fiction
The Official SAT Study Guide,The College Board,4.4,1201,40,2014,Non Fiction
The Paris Wife: A Novel,Paula McLain,4.3,3759,16,2011,Fiction
The President Is Missing: A Novel,James Patterson,4.3,10191,18,2018,Fiction
The Racketeer,John Grisham,4.3,14493,18,2012,Fiction
The Silent Patient,Alex Michaelides,4.5,27536,14,2019,Fiction
The Time Traveler's Wife,Audrey Niffenegger,4.4,3759,6,2009,Fiction
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,3503,9,2009,Non Fiction
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2013,Fiction
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2014,Fiction
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2015,Fiction
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2016,Fiction
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2017,Fiction
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2018,Fiction
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2019,Fiction
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2016,Fiction
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2017,Fiction
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2018,Fiction
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2019,Fiction
Thirteen Reasons Why,Jay Asher,4.5,7932,9,2017,Fiction
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,1904,23,2012,Non Fiction
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,11,2009,Non Fiction
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,11,2010,Non Fiction
Tina Fey: Bossypants,Tina Fey,4.3,5977,12,2011,Non Fiction
True Compass: A Memoir,Edward M. Kennedy,4.5,438,15,2009,Non Fiction
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.5,2586,5,2014,Fiction
Under the Dome: A Novel,Stephen King,4.3,6740,20,2009,Fiction
Unfreedom of the Press,Mark R. Levin,4.9,5956,11,2019,Non Fiction
Water for Elephants: A Novel,Sara Gruen,4.5,8958,12,2011,Fiction
What to Expect When You're Expecting,Heidi Murkoff,4.4,3341,9,2011,Non Fiction
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,17044,18,2012,Non Fiction
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,10760,15,2012,Fiction
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,1302,11,2010,Non Fiction
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,9413,8,2019,Fiction
